-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       43.154s        99.87%       43.154s     308.241ms           0 B           0 B           0 B           0 B           140  
                                       vllm::all_reduce         4.24%        1.841s         8.01%        3.474s     153.036us       39.302s        90.96%       39.305s       1.731ms           0 B           0 B     382.38 MB           0 B         22701  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       39.302s        90.96%       39.302s       1.731ms           0 B           0 B           0 B           0 B         22701  
                                               aten::mm         4.11%        1.783s         7.00%        3.037s      89.375us        2.979s         6.89%        2.980s      87.687us           0 B           0 B     734.52 MB     734.45 MB         33981  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us        1.783s         4.13%        1.783s     155.026us           0 B           0 B           0 B           0 B         11501  
ampere_bf16_s16816gemm_bf16_128x64_sliced1x2_ldg8_f2...         0.00%       0.000us         0.00%       0.000us       0.000us     885.110ms         2.05%     885.110ms      79.028us           0 B           0 B           0 B           0 B         11200  
                                            aten::addmm         1.96%     851.689ms         4.73%        2.052s     181.903us     398.354ms         0.92%     399.584ms      35.424us           0 B           0 B      59.38 MB      59.38 MB         11280  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     331.684ms         0.77%     331.684ms      29.615us           0 B           0 B           0 B           0 B         11200  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us     293.913ms         0.68%     293.913ms      26.056us           0 B           0 B           0 B           0 B         11280  
