model,param_b,tp_size,n_tokens,duration_ms,duration_s
Qwen2.5-7B,7,1,10,826.9563134765625,0.8269563134765625
Qwen2.5-7B,7,1,25,2100.78483984375,2.10078483984375
Qwen2.5-7B,7,1,50,4231.962772460937,4.231962772460937
Qwen2.5-7B,7,1,75,6304.685893554688,6.304685893554688
Qwen2.5-7B,7,1,100,7938.768583984375,7.938768583984375
Qwen2.5-7B,7,1,125,10525.71180859375,10.525711808593751
Qwen2.5-7B,7,1,150,11775.29380859375,11.77529380859375
Qwen2.5-7B,7,2,10,1113.2644189453124,1.1132644189453125
Qwen2.5-7B,7,2,25,2802.02649609375,2.80202649609375
Qwen2.5-7B,7,2,50,5175.724211914063,5.175724211914063
Qwen2.5-7B,7,2,75,7841.4912939453125,7.841491293945312
Qwen2.5-7B,7,2,100,10432.352290039062,10.432352290039061
Qwen2.5-7B,7,2,125,13214.957243164063,13.214957243164063
Qwen2.5-7B,7,2,150,14519.108534179688,14.519108534179688
Qwen2.5-7B,7,4,10,1133.8700322265624,1.1338700322265625
Qwen2.5-7B,7,4,25,2779.69212890625,2.7796921289062504
Qwen2.5-7B,7,4,50,5138.425711914062,5.138425711914062
Qwen2.5-7B,7,4,75,7681.849399414063,7.681849399414062
Qwen2.5-7B,7,4,100,10098.657904296875,10.098657904296875
Qwen2.5-7B,7,4,125,15312.106260742188,15.312106260742189
Qwen2.5-7B,7,4,150,17709.8187421875,17.7098187421875
Qwen2.5-14B,14,1,10,1423.54972265625,1.42354972265625
Qwen2.5-14B,14,1,25,3483.1839169921873,3.4831839169921874
Qwen2.5-14B,14,1,50,20925.024212890625,20.925024212890627
Qwen2.5-14B,14,1,75,10150.155995117188,10.150155995117187
Qwen2.5-14B,14,1,100,13099.122243164062,13.099122243164063
Qwen2.5-14B,14,1,125,17357.839345703123,17.357839345703123
Qwen2.5-14B,14,1,150,20767.34585839844,20.76734585839844
Qwen2.5-14B,14,2,10,1763.10283984375,1.76310283984375
Qwen2.5-14B,14,2,25,4320.978446289062,4.320978446289062
Qwen2.5-14B,14,2,50,8776.950965820313,8.776950965820314
Qwen2.5-14B,14,2,75,13015.027702148438,13.015027702148439
Qwen2.5-14B,14,2,100,17611.701240234375,17.611701240234375
Qwen2.5-14B,14,2,125,20671.11616308594,20.671116163085937
Qwen2.5-14B,14,2,150,20031.42212109375,20.03142212109375
Qwen2.5-14B,14,4,10,1768.9729404296875,1.7689729404296874
Qwen2.5-14B,14,4,25,4518.757099609375,4.518757099609375
Qwen2.5-14B,14,4,50,8598.613500976562,8.598613500976562
Qwen2.5-14B,14,4,75,13927.464897460937,13.927464897460938
Qwen2.5-14B,14,4,100,20806.110321289063,20.80611032128906
Qwen2.5-14B,14,4,125,21426.450390625,21.426450390625
Qwen2.5-14B,14,4,150,26014.9827734375,26.0149827734375
Qwen2.5-32B,32,2,10,9859.154388671875,9.859154388671875
Qwen2.5-32B,32,2,25,10515.575178710937,10.515575178710936
Qwen2.5-32B,32,2,50,11093.948272460937,11.093948272460937
Qwen2.5-32B,32,2,75,17238.84563183594,17.23884563183594
Qwen2.5-32B,32,2,100,22874.94316796875,22.874943167968752
Qwen2.5-32B,32,2,125,28200.69161328125,28.20069161328125
Qwen2.5-32B,32,2,150,31767.500123046873,31.767500123046872
Qwen2.5-32B,32,4,10,2271.0766083984377,2.2710766083984377
Qwen2.5-32B,32,4,25,5813.754624023438,5.813754624023438
Qwen2.5-32B,32,4,50,11391.71523828125,11.391715238281249
Qwen2.5-32B,32,4,75,19401.0951484375,19.4010951484375
Qwen2.5-32B,32,4,100,23712.585375976563,23.712585375976563
Qwen2.5-32B,32,4,125,28633.280427734375,28.633280427734373
Qwen2.5-32B,32,4,150,30612.972376953127,30.612972376953127
Qwen2.5-72B,72,4,10,2836.423193359375,2.836423193359375
Qwen2.5-72B,72,4,25,7248.587033203125,7.248587033203125
Qwen2.5-72B,72,4,50,14689.734555664063,14.689734555664064
Qwen2.5-72B,72,4,75,24995.243883789062,24.995243883789062
Qwen2.5-72B,72,4,100,31363.77703515625,31.36377703515625
Qwen2.5-72B,72,4,125,35834.60326074219,35.834603260742185
Qwen2.5-72B,72,4,150,43615.672169921876,43.61567216992188
